id,properties
30236846,"{'y': 41.3715521, 'x': 2.1222423, 'street_count': 3}"
30236847,"{'y': 41.3719334, 'x': 2.1229395, 'street_count': 4}"
30236848,"{'y': 41.3723998, 'x': 2.1236892, 'street_count': 3}"
30236892,"{'y': 41.371023, 'x': 2.1228871, 'street_count': 4}"
30236893,"{'y': 41.3686916, 'x': 2.1256958, 'street_count': 3}"
30236901,"{'y': 41.369855, 'x': 2.1281473, 'street_count': 3}"
30236902,"{'y': 41.3694725, 'x': 2.1275391, 'street_count': 4}"
30236905,"{'y': 41.3689765, 'x': 2.126487, 'street_count': 4}"
30236908,"{'y': 41.3690014, 'x': 2.1241738, 'street_count': 3}"
30236925,"{'y': 41.3739148, 'x': 2.1211772, 'street_count': 3}"
30236927,"{'y': 41.3732876, 'x': 2.1217177, 'street_count': 3}"
30236928,"{'y': 41.3729381, 'x': 2.1220246, 'street_count': 5}"
30236929,"{'y': 41.3726302, 'x': 2.1223228, 'street_count': 3}"
30236930,"{'y': 41.3714456, 'x': 2.1235134, 'street_count': 4}"
30236932,"{'y': 41.3757365, 'x': 2.1190355, 'street_count': 3}"
30236941,"{'y': 41.3739633, 'x': 2.1197564, 'street_count': 4}"
30236943,"{'y': 41.3733266, 'x': 2.1201979, 'street_count': 3}"
30236944,"{'y': 41.3727103, 'x': 2.1205689, 'street_count': 4}"
30236945,"{'y': 41.3721794, 'x': 2.1209061, 'street_count': 4}"
30237016,"{'y': 41.374469, 'x': 2.1187654, 'street_count': 4}"
30237017,"{'y': 41.373707, 'x': 2.1192561, 'street_count': 4}"
30237019,"{'y': 41.3724702, 'x': 2.1200093, 'street_count': 4}"
30237020,"{'y': 41.3718369, 'x': 2.1203996, 'street_count': 4}"
30237021,"{'y': 41.3700445, 'x': 2.1214759, 'street_count': 4}"
30237022,"{'y': 41.3692377, 'x': 2.1219888, 'street_count': 3}"
30237023,"{'y': 41.3731934, 'x': 2.1182496, 'street_count': 3}"
30237024,"{'y': 41.372221, 'x': 2.1192743, 'street_count': 4}"
